,country_name,top_movie,top_movie_score,top_tv,top_tv_score,continent,region,population,gdp,launch_date,program_count,subscriber_count,revenue
10,Chile,"['We Can Be Heroes', 'Wish Dragon', 'Shrek', 'The Mitchells vs. The Machines', 'The Mole Agent', 'Yes Day', 'Paper Lives', 'Minions', 'Shrek 2', 'Trouble']","[460, 346, 330, 320, 285, 180, 176, 176, 171, 166]","['Yo soy Betty la fea', 'New Amsterdam', 'Pasión de gavilanes', 'Who Killed Sara?', 'Lupin', 'Bridgerton', 'Demon Slayer: Kimetsu no Yaiba', 'Luis Miguel: The Series', 'Vikings', 'Acero, Woman of Steel']","[1205, 653, 628, 514, 411, 404, 366, 321, 299, 285]",Latin America,South America,17574003,27150,2011-09-08,0,1500000,29200000
11,Colombia,"['We Can Be Heroes', 'Wish Dragon', 'The Mitchells vs. The Machines', 'Trouble', 'Yes Day', 'Army of the Dead', 'Fatherhood', 'Paper Lives', 'Run', 'Fear Street: 1994']","[441, 288, 265, 201, 197, 187, 180, 171, 170, 164]","['Pablo Escobar, The Drug Lord', 'Yo soy Betty la fea', 'Chica Vampiro', 'Nuevo Rico Nuevo Pobre', '100 Dias Para Enamorarnos', 'Who Killed Sara?', 'Lupin', 'New Amsterdam', 'Sex/Life', 'The Queen of Flow']","[1499, 1091, 743, 716, 716, 598, 468, 464, 424, 374]",Latin America,South America,50372424,16264,2011-09-09,0,3000000,73100000
12,Costa Rica,"['We Can Be Heroes', 'Wish Dragon', 'Shrek', 'The Mitchells vs. The Machines', 'Fatherhood', 'Trouble', 'Yes Day', 'I Feel Pretty', 'The Grinch', 'Paper Lives']","[421, 309, 213, 197, 195, 195, 189, 186, 177, 159]","['Yo soy Betty la fea', 'Pablo Escobar, The Drug Lord', 'Pasión de gavilanes', 'Nuevo Rico Nuevo Pobre', 'New Amsterdam', '100 Dias Para Enamorarnos', 'Who Killed Sara?', 'Lupin', 'Bridgerton', 'Madre solo hay dos']","[1646, 1026, 854, 613, 599, 561, 484, 376, 348, 255]",Latin America,Central America,4999441,18651,2011-09-12,0,200000,8300000
13,Croatia,"['We Can Be Heroes', 'The Mitchells vs. The Machines', 'Wish Dragon', 'The SpongeBob Movie: Sponge on the Run', 'Fatherhood', 'Yes Day', 'Chernobyl: Abyss', 'Army of the Dead', 'The Woman in the Window', 'Love and Monsters']","[469, 372, 318, 271, 260, 233, 214, 214, 188, 181]","['Ginny & Georgia', 'Lupin', 'Who Killed Sara?', 'Bridgerton', 'Sex/Life', 'El inocente', 'Money Heist', 'The Serpent', 'Shadow and Bone', 'The Crown']","[649, 633, 567, 542, 473, 344, 307, 287, 282, 281]",Europe,Southen Europe,4058165,29207,2016-01-06,0,50000,4900000
14,Cyprus,"['We Can Be Heroes', 'Wish Dragon', 'Fast & Furious Presents: Hobbs & Shaw', 'Fatherhood', 'Spider-Man: Far from Home', 'The Last Mercenary', 'Army of the Dead', 'Yes Day', 'Resort to Love', 'Gemini Man']","[438, 282, 198, 183, 172, 168, 168, 164, 156, 156]","['Lupin', 'Who Killed Sara?', 'Ginny & Georgia', 'Friends', 'Sex/Life', 'Bridgerton', 'The Flash', 'New Amsterdam', 'The Good Doctor', 'Lucifer']","[567, 548, 460, 437, 426, 416, 404, 374, 331, 325]",Asia,Middle-East,1189265,41572,2016-01-06,0,25000,800000
15,Czech Republic,"['We Can Be Heroes', 'The Mitchells vs. The Machines', 'The SpongeBob Movie: Sponge on the Run', 'Wish Dragon', 'The Emoji Movie', 'I Care a Lot', 'Príliš osobná známosť', 'Yes Day', 'Princess Cursed in Time', 'Army of the Dead']","[403, 397, 368, 357, 303, 279, 271, 261, 229, 220]","['The Crown', 'New Amsterdam', 'Lupin', 'Bridgerton', 'Ginny & Georgia', 'Sex/Life', 'Lucifer', 'Riverdale', 'Too Hot to Handle', 'Sexify']","[590, 543, 543, 539, 457, 438, 401, 386, 372, 359]",Europe,Eastern Europe,10693939,40585,2016-01-06,5400,200000,18300000
16,Denmark,"['We Can Be Heroes', 'Wish Dragon', 'Gemini Man', 'The Mitchells vs. The Machines', 'Fatherhood', 'Army of the Dead', 'Minions', 'The Secret Life of Pets 2', 'Seaspiracy', 'Love and Monsters']","[429, 260, 218, 202, 198, 177, 163, 160, 159, 157]","['Peppa Pig', 'Lupin', 'Ginny & Georgia', 'Bridgerton', 'Riverdale', 'Shadow and Bone', 'Sex/Life', ""Gabby's Dollhouse"", 'The Serpent', 'Lucifer']","[674, 589, 473, 455, 359, 331, 318, 315, 310, 304]",Europe,Northern Europe,5824857,51643,2012-10-18,0,1000000,13200000
17,Dominican Republic,"['We Can Be Heroes', 'Yes Day', 'xXx: Return of Xander Cage', 'Xtreme', 'Fatherhood', 'Major Grom: Plague Doctor', 'Outside the Wire', 'I Feel Pretty', 'The Mitchells vs. The Machines', 'Resort to Love']","[500, 164, 159, 149, 147, 140, 137, 136, 134, 132]","['Pasión de gavilanes', 'Pablo Escobar, The Drug Lord', 'Paw Patrol', 'Nuevo Rico Nuevo Pobre', 'Who Killed Sara?', 'New Amsterdam', 'Falsa Identidad', 'Bridgerton', '100 Dias Para Enamorarnos', 'Sex/Life']","[1088, 1046, 617, 559, 531, 500, 463, 412, 360, 356]",Latin America,Caribbean,10878246,20625,2011-09-12,0,200000,6500000
18,Ecuador,"['We Can Be Heroes', 'Wish Dragon', 'Trouble', 'Shrek 2', 'Shrek', 'Fatherhood', 'The Mitchells vs. The Machines', 'Yes Day', 'Paper Lives', 'The Grinch']","[500, 305, 190, 188, 179, 165, 164, 157, 153, 141]","['Yo soy Betty la fea', 'Pasión de gavilanes', 'Pablo Escobar, The Drug Lord', 'Paw Patrol', 'Nuevo Rico Nuevo Pobre', '100 Dias Para Enamorarnos', 'The End of Paradise', 'Who Killed Sara?', 'Acero, Woman of Steel', 'Falsa Identidad']","[1535, 1120, 847, 676, 659, 536, 504, 456, 445, 354]",Latin America,South America,17084358,11701,2011-09-09,0,300000,17900000
19,Egypt,"['We Can Be Heroes', 'The Suit', 'I Care a Lot', 'Monopoly (Bank Of Luck)', 'Wish Dragon', 'Fatherhood', 'Ali Baba', 'Wannabe Courageous', 'Gemini Man', 'Minions']","[442, 390, 295, 275, 274, 266, 248, 217, 214, 209]","['Friends', 'Lupin', 'CoComelon', 'New Amsterdam', 'Sex/Life', 'Bridgerton', 'Sexify', 'Ginny & Georgia', 'Behind Her Eyes', 'The Good Doctor']","[1047, 836, 736, 599, 481, 432, 394, 384, 380, 368]",Africa,Northern Africa,100075480,14023,2016-01-06,0,200000,6100000
20,Estonia,"['The Mitchells vs. The Machines', 'Chernobyl: Abyss', 'Suicide Squad', 'Seaspiracy', 'The Secret Life of Pets 2', 'Army of the Dead', 'We Can Be Heroes', 'Outside the Wire', 'Wish Dragon', 'Love and Monsters']","[326, 272, 266, 231, 217, 212, 203, 200, 195, 188]","['Ginny & Georgia', 'Rick and Morty', 'Friends', 'Lupin', 'The Blacklist', 'Snowpiercer', 'Riverdale', 'Bridgerton', 'Sex/Life', 'Lucifer']","[614, 587, 502, 494, 431, 420, 418, 412, 392, 335]",Europe,Northern Europe,1328976,37033,2016-01-06,0,25000,3700000
21,Finland,"['We Can Be Heroes', 'The Mitchells vs. The Machines', 'The Secret Life of Pets 2', 'Anna', 'Gemini Man', 'Wish Dragon', 'Death Wish', 'John Wick: Chapter 3 – Parabellum', 'Seaspiracy', 'Army of the Dead']","[308, 220, 194, 191, 190, 183, 176, 175, 174, 171]","['Lupin', 'Ginny & Georgia', 'Bridgerton', 'Snowpiercer', 'Sex/Life', 'Riverdale', 'Who Killed Sara?', 'Superstore', 'The Good Doctor', 'Lucifer']","[535, 528, 476, 439, 383, 351, 337, 323, 322, 317]",Europe,Northern Europe,5528737,49334,2012-10-18,0,800000,8400000
22,France,"['We Can Be Heroes', 'I Care a Lot', 'Secret Magic Control Agency', 'Spider-Man: Homecoming', 'The Mitchells vs. The Machines', 'The Last Mercenary', 'Wish Dragon', 'Army of the Dead', 'Love and Monsters', 'Outside the Wire']","[355, 250, 198, 176, 175, 172, 170, 168, 166, 151]","['Lupin', 'Who Killed Sara?', 'Paw Patrol', 'Ginny & Georgia', 'Bridgerton', 'The Serpent', 'Snowpiercer', 'Riverdale', 'New Amsterdam', 'Sex/Life']","[713, 629, 543, 467, 435, 431, 389, 380, 369, 356]",Europe,Western Europe,67081000,45454,2014-09-19,4200,5500000,213000000
23,Germany,"['I Care a Lot', 'Army of the Dead', 'Wish Dragon', 'Spider-Man: Far from Home', 'Love and Monsters', 'We Can Be Heroes', 'Fatherhood', 'Yes Day', 'Deadpool 2', 'Outside the Wire']","[189, 188, 179, 173, 169, 161, 160, 149, 144, 143]","['Lupin', 'Who Killed Sara?', 'Paw Patrol', 'Bridgerton', 'Ginny & Georgia', 'Riverdale', 'S.W.A.T.', 'The Blacklist', 'Sex/Life', 'Shadow and Bone']","[617, 599, 560, 493, 492, 483, 360, 289, 276, 243]",Europe,Western Europe,83166711,53571,2014-09-19,4500,5500000,118600000
24,Greece,"['We Can Be Heroes', 'Wish Dragon', 'I Care a Lot', 'The Last Mercenary', 'Yes Day', 'Minions', 'The Mitchells vs. The Machines', 'Secret Magic Control Agency', 'Spider-Man: Far from Home', 'Army of the Dead']","[377, 215, 180, 166, 165, 160, 157, 157, 156, 155]","['The Blacklist', 'Lupin', 'Who Killed Sara?', 'Sex/Life', 'Bridgerton', 'Rick and Morty', 'Riverdale', 'Ginny & Georgia', 'Lucifer', 'The Serpent']","[690, 612, 523, 384, 374, 334, 327, 313, 305, 293]",Europe,Southen Europe,10724599,29045,2016-01-06,0,100000,9600000
25,Guatemala,"['We Can Be Heroes', 'Wish Dragon', 'The Grinch', 'Paper Lives', 'Trouble', 'Shrek', 'The Mitchells vs. The Machines', 'Minions', 'Fatherhood', 'I Feel Pretty']","[423, 329, 226, 194, 189, 188, 178, 177, 173, 173]","['Yo soy Betty la fea', 'Pablo Escobar, The Drug Lord', 'Pasión de gavilanes', '100 Dias Para Enamorarnos', 'Nuevo Rico Nuevo Pobre', 'Who Killed Sara?', 'Falsa Identidad', 'New Amsterdam', 'Lupin', 'Bridgerton']","[1833, 1150, 982, 683, 671, 461, 455, 426, 362, 311]",Latin America,Central America,17263239,8413,2011-09-12,0,200000,0
26,Honduras,"['We Can Be Heroes', 'Shrek', 'Wish Dragon', 'Fatherhood', 'Paper Lives', 'Shrek 2', 'Yes Day', 'I Feel Pretty', 'The Mitchells vs. The Machines', 'Trouble']","[428, 255, 242, 177, 170, 168, 166, 163, 148, 148]","['Pasión de gavilanes', 'Pablo Escobar, The Drug Lord', 'Yo soy Betty la fea', 'Nuevo Rico Nuevo Pobre', '100 Dias Para Enamorarnos', 'Who Killed Sara?', 'Paw Patrol', 'New Amsterdam', 'Lupin', 'Bridgerton']","[1447, 1408, 1326, 658, 513, 457, 374, 367, 348, 324]",Latin America,Central America,9587522,5817,0,0,0,0
27,Hong-Kong,"['Aquaman', 'John Wick', 'Army of the Dead', 'Fast & Furious Presents: Hobbs & Shaw', 'Dynasty Warriors', 'Kingdom: Ashin of the North', 'Blood Red Sky', 'The Mitchells vs. The Machines', 'Ten Years', 'Outside the Wire']","[257, 240, 231, 228, 204, 198, 185, 183, 176, 171]","['Vincenzo', 'Sisyphus: The Myth', 'The Uncanny Counter', 'Jujutsu Kaisen', 'Nevertheless', 'Mine', 'My Hero Academia', 'Sex/Life', 'Hospital Playlist', 'Lupin']","[1081, 714, 559, 458, 427, 380, 358, 348, 333, 322]",Asia,East Asia,7500700,58165,2016-01-06,0,300000,24400000
28,Hungary,"['The Mitchells vs. The Machines', 'Yes Day', 'We Can Be Heroes', 'The SpongeBob Movie: Sponge on the Run', 'I Care a Lot', ""Finding 'Ohana"", 'Thunder Force', 'Wish Dragon', 'Army of the Dead', 'Fatherhood']","[387, 345, 322, 310, 280, 259, 249, 234, 232, 213]","['Money Heist', 'Lupin', 'Bridgerton', 'Sex/Life', 'Ginny & Georgia', 'The Crown', 'Shadow and Bone', 'Riverdale', 'Who Killed Sara?', 'Sexify']","[1514, 740, 703, 500, 450, 342, 310, 306, 303, 296]",Europe,Eastern Europe,9772756,35941,2016-01-06,5300,200000,15500000
29,Iceland,"['The Mitchells vs. The Machines', 'We Can Be Heroes', 'Venom', 'Wish Dragon', 'Gemini Man', 'Fatherhood', 'News of the World', 'Yes Day', 'Kung Fu Panda 3', 'Army of the Dead']","[393, 388, 228, 227, 198, 186, 168, 167, 163, 162]","['Brooklyn Nine-Nine', 'Ginny & Georgia', 'Lupin', 'The Office', 'Bridgerton', 'The Good Doctor', 'Who Killed Sara?', 'Katla', 'Sex/Life', 'The Serpent']","[771, 501, 425, 412, 373, 352, 328, 312, 291, 286]",Europe,Northern Europe,364134,56066,2016-01-06,0,100000,1300000
30,India,"['365 Days', 'Haseen Dillruba', 'Fifty Shades of Grey', 'The White Tiger', 'Ajeeb Daastaans', 'Jagame Thandhiram', 'Roohi', 'Ludo', 'Indoo Ki Jawani', 'The Girl on the Train']","[562, 410, 384, 358, 320, 275, 267, 267, 262, 248]","['Friends', 'Money Heist', 'The Bold Type', 'Lucifer', 'Sex/Life', 'Bridgerton', 'Lupin', 'Bombay Begums', 'Vincenzo', 'The Good Doctor']","[1569, 1163, 544, 503, 503, 479, 390, 380, 345, 292]",Asia,South Asia,1352642280,6283,2014-09-19,5600,500000,1560000000
31,Ireland,"['The Secret Life of Pets 2', 'We Can Be Heroes', 'The Mitchells vs. The Machines', 'Seaspiracy', 'Fatherhood', 'Suicide Squad', 'Wish Dragon', 'Believe Me: The Abduction of Lisa McVey', 'Love and Monsters', 'Spider-Man: Far from Home']","[215, 199, 199, 192, 168, 163, 159, 151, 149, 146]","['CoComelon', 'Ginny & Georgia', 'Paw Patrol', 'Bridgerton', 'The Bold Type', 'Sex/Life', 'Lupin', 'Virgin River', 'Behind Her Eyes', 'StartUp']","[1021, 470, 462, 447, 406, 370, 349, 337, 302, 296]",Europe,Northern Europe,4977400,86988,2012-01-04,0,500000,15100000
32,Israel,"['We Can Be Heroes', 'Wish Dragon', 'Yes Day', 'The SpongeBob Movie: Sponge on the Run', 'Fatherhood', 'I Care a Lot', 'The Mitchells vs. The Machines', 'Fast & Furious Presents: Hobbs & Shaw', 'Minions', 'Focus']","[955, 281, 250, 238, 234, 227, 208, 206, 205, 171]","['Lupin', 'The Blacklist', 'Bridgerton', 'Who Killed Sara?', 'The Bold Type', 'Ginny & Georgia', 'Rick and Morty', 'Sex/Life', 'The Good Doctor', 'Lucifer']","[624, 607, 538, 518, 513, 487, 442, 438, 315, 308]",Asia,Middle-East,9277200,40336,2016-01-06,4800,300000,14000000
33,Italy,"['Fatherhood', 'A Star is Born', 'Love and Monsters', 'Major Grom: Plague Doctor', 'Belleville Cop', 'Wish Dragon', 'Aquaman', 'The Mitchells vs. The Machines', 'Ava', 'Resort to Love']","[216, 175, 171, 162, 155, 150, 149, 145, 144, 144]","['Lupin', 'Ginny & Georgia', 'Who Killed Sara?', 'Bridgerton', 'Riverdale', 'Sex/Life', 'New Amsterdam', 'Lucifer', 'The Serpent', 'Elite']","[689, 576, 520, 504, 419, 410, 385, 380, 327, 300]",Europe,Southen Europe,60317116,40470,2015-10-23,4000,2500000,104400000
34,Jamaica,[],[],[],[],Latin America,Caribbean,2726667,9434,0,0,0,0
35,Japan,"['Parasite', 'Nihontouitsu Series', 'One Piece: Stampede', 'Tenet', 'A Family', ""Doraemon: Nobita's Chronicle of the Moon Exploration"", 'Sunny: Our Hearts Beat Together', 'Your Eyes Tell', 'Neon Genesis Evangelion: The End of Evangelion', 'Crayon Shin-chan the Movie: Burst Serving! Kung Fu Boys ~Ramen Rebellion~']","[282, 279, 239, 230, 225, 185, 180, 180, 174, 173]","['Jujutsu Kaisen', 'Tokyo Revengers', 'Tokyo Revengers', 'Vincenzo', 'Crash Landing on You', 'My Hero Academia', 'That Time I Got Reincarnated as a Slime', 'Attack on Titan', 'Nevertheless', 'The Seven Deadly Sins', 'Mine']","[1203, 1173, 1164, 1039, 991, 592, 536, 494, 435, 369, 306]",Asia,East Asia,125960000,43194,2015-03-24,5100,4300000,194900000
36,Jordan,"['We Can Be Heroes', '365 Days', 'Fatherhood', 'Wish Dragon', 'I Care a Lot', 'Gemini Man', 'Minions', 'Den of Thieves', 'Fifty Shades of Grey', 'Run']","[680, 399, 290, 277, 252, 239, 200, 195, 181, 177]","['Friends', 'New Amsterdam', 'Lupin', 'Sex/Life', 'Bridgerton', 'Lucifer', 'Rick and Morty', 'The Good Doctor', 'Sexify', 'Ginny & Georgia']","[1376, 802, 722, 461, 386, 376, 369, 367, 351, 344]",Asia,Middle-East,10658123,9406,0,0,0,0
